Country or region,Intervention,Description of total population,Subgroups,Subgroup description,Uptake outcome
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Healthy Child programme visits,0,81.7%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Residential area,North,92.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Residential area,South,91.3%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Preterm (<35 weeks),95.6%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Preterm (<29 weeks),100.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Congenital heart diseases,98.5%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Bronchopulmonary dysplasia,97.4%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Severe immunosuppression,90.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Congenital metabolic disorders,92.9%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Neuromuscular diseases,100.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Severe pulmonary diseases,100.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Trisomy 21,90.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Cystic fibrosis,100.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Patients in palliative care,100.0%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,TOTAL,NA,80.1%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,23-27 weeks of gestation,78.6%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,28-33 weeks of gestation,86.6%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,34-36 weeks of gestation,81.9%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,37-41 weeks of gestation,80.0%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,42+ weeks of gestation,53.3%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Type of birth,Single birth,79.9%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Type of birth,Multiple birth,86.6%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Sex,Female sex,79.7%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Sex,Male sex,80.5%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity (yes/no),Comorbidities undetected,79.8%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity (yes/no),Detected comorbidity,83.6%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity groups,Prematurity (<35 weeks gestational age),84.7%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity groups,Lung pathology,78.8%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity groups,Cardiac pathology,80.0%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity groups,Immunodepression,81.3%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity groups,Metabolism disorders,84.1%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity groups,Neurological pathology,79.5%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Comorbidity groups,Palliative care,100.0%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Average personal net income of the census section of residence (2021 data),Up to 10th (lower),64.7%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Average personal net income of the census section of residence (2021 data),11th to 30th,72.1%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Average personal net income of the census section of residence (2021 data),31st to 50th,78.6%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Average personal net income of the census section of residence (2021 data),51st to 70th,85.6%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Average personal net income of the census section of residence (2021 data),71st to 90th,89.3%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Average personal net income of the census section of residence (2021 data),91st to 100th (higher),90.2%
"Paris, France",Nirsevimab,Infants under 12 months old,TOTAL,NA,36.5%
"Paris, France",Nirsevimab,Infants under 12 months old,Age group,≤3 months,58.2%
"Paris, France",Nirsevimab,Infants under 12 months old,Age group,>3 to ≤6 months,37.6%
"Paris, France",Nirsevimab,Infants under 12 months old,Age group,>6 to 12 months,18.0%
"Paris, France",Nirsevimab,Infants under 12 months old at emergency department with RSV-associated bronchiolitis,TOTAL,NA,11.0%
"Paris, France",Nirsevimab,Infants under 12 months old at emergency department with RSV-associated bronchiolitis,Age group,≤3 months,23.0%
"Paris, France",Nirsevimab,Infants under 12 months old at emergency department with RSV-associated bronchiolitis,Age group,>3 to ≤6 months,2.9%
"Paris, France",Nirsevimab,Infants under 12 months old at emergency department with RSV-associated bronchiolitis,Age group,>6 to 12 months,0.0%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due all-cause bronchiolitis,TOTAL,NA,23.6%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due all-cause bronchiolitis,Age group,≤3 months,37.6%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due all-cause bronchiolitis,Age group,>3 to ≤6 months,12.4%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due all-cause bronchiolitis,Age group,>6 to 12 months,13.4%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due to RSV-associated bronchiolitis,TOTAL,NA,11.5%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due to RSV-associated bronchiolitis,Age group,≤3 months,23.0%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due to RSV-associated bronchiolitis,Age group,>3 to ≤6 months,3.0%
"Paris, France",Nirsevimab,Infants under 12 months old hospitalised due to RSV-associated bronchiolitis,Age group,>6 to 12 months,0.0%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old,TOTAL,NA,87.2%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old,Sex,Male,87.3%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old,Nationality,Spanish,87.8%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old,Rural or urban residence,Rural residence,86.1%
"Valle d' Aosta, Italy",Nirsevimab,Infants born between 1 May 2023 and 15 Feb 2024,TOTAL,NA,68.7%
"Valle d' Aosta, Italy",Nirsevimab,Infants born between 1 May 2023 and 15 Feb 2025,Enrolment group,Seasonal group,86.5%
"Valle d' Aosta, Italy",Nirsevimab,Infants born between 1 May 2023 and 15 Feb 2026,Enrolment group,Catch-up group,65.2%
Luxembourg,Nirsevimab,Newnorns at maternity wards (Oct to mid-Dec 2023),TOTAL,NA,83.8%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,TOTAL,NA,88.5%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,Catch-up group,86.5%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,Seasonal group,92.1%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Sex,Male,88.3%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Sex,Female,88.8%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Maternity service,Private,82.6%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Maternity service,Not private,90.2%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Birth weight,1500 g or more,88.6%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Birth weight,Less than 1500 g,75.0%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,38 or more weeks,88.5%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,Less than 38 weeks,88.4%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Feeding status,Mother with breastfeeding intention,88.3%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Feeding status,Mother without breastfeeding intention,89.0%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Nationality,Spanish,91.7%
"Valencia, Spain",Nirsevimab,Infants under 6 months old,Nationality,Non-Spanish,83.9%
"Navarre, Spain",Nirsevimab,Newborns immmunised at birth (Oct - Dec 2023),TOTAL,NA,92.0%
"Navarre, Spain",Nirsevimab,Newborns immmunised at birth (Oct - Dec 2023),Sex,Male,92.2%
"Navarre, Spain",Nirsevimab,Newborns immmunised at birth (Oct - Dec 2023),Sex,Female,91.7%
"Alaska, USA",Nirsevimab,American Indian or Alaska Native children <20 months old,TOTAL,NA,47.5%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,TOTAL,NA,88.1%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Sex,Male,90.2%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Sex,Female,84.5%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Age group,0-3 months,92.5%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Age group,3+ months,86.0%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Enrolment group,Seasonal,90.6%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Enrolment group,Catch-up,87.5%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Preschool age siblings,Yes,88.6%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Attend daycare,Yes,83.3%
"Valencia and Murcia, Spain",Nirsevimab,Infants under 10 months old with lower respiratory tract infection at primary care,Comorbidities,Prematurity,88.9%
"Valencia, Murcia and Valladolid, Spain",Nirsevimab,Infants under 9 months old,TOTAL,NA,90.0%
"Galicia, Spain",Nirsevimab,Newborns immunised at hospital within the first 24h of life,TOTAL,NA,92.6%
"Galicia, Spain",Nirsevimab,Infants 0-6 months old at the start of the RSV season (1st Oct),TOTAL,NA,81.4%
"Galicia, Spain",Nirsevimab,Children 6-24 months old at the start of the RSV season with risk conditions,TOTAL,NA,97.5%
"Madrid, Spain",Nirsevimab,Infants under 6 months old at A&E with RSV infection,TOTAL,NA,36.5%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,TOTAL,NA,8.4%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Age group,<1 month,9.0%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Age group,1-2 months,8.4%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Age group,3-4 months,6.9%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Age group,5-6 months,5.0%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Age group,7-8 months,9.4%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Age group,9-10 months,26.1%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Age group,11-12 months,33.3%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Weeks of gestation,Preterm <37 weeks,10.3%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Weeks of gestation,Term 37+ weeks,8.0%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Comorbidities,1+ high-risk medical condition,46.2%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Comorbidities,No comorbidities,6.2%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Sex,Female,9.6%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Sex,Male,7.6%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,American Indian or Alaska Native,0.0%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,Asian,6.4%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,Black or African American,9.0%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,Native Hawaiian or other Pacific Islander,10.2%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,White,16.7%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,Hispanic or Latino,0.0%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,Multiple race or other non-specified,6.4%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Ethnicity,Unknown,10.5%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Insurance type,Public,9.6%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Insurance type,Private,7.3%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Insurance type,Public and private,25.0%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Insurance type,Self-pay (none),7.8%
USA (seven U.S. pediatric academic medical centers),Nirsevimab,Infants under 12 months old hospitalised with acute respiratory infection,Insurance type,Unknown,0.0%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,TOTAL,NA,70.8%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Sex,Male,69.6%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Sex,Female,73.3%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Age at time of disharge,<3 days,69.3%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Age at time of disharge,>3 days,76.4%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Ethnicity,Hispanic/ Latino,75.3%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Ethnicity,Non-Hispanic/ Non-Latino -- Asian,74.5%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Ethnicity,Non-Hispanic/ Non-Latino -- White,66.3%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Ethnicity,Non-Hispanic/ Non-Latino -- Other,56.5%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Ethnicity,Multi-Racial,73.8%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Ethnicity,Unknown/Other,65.9%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Preferred language,English,68.3%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Preferred language,Spanish,80.4%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Preferred language,Other,70.0%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Insurance type,Private/ Managed care,71.8%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Insurance type,Public,71.5%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Insurance type,Other,33.3%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Comorbidities,Haemodynamically significant CHD,88.9%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Comorbidities,BPD or CLD and medical support,77.8%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Discharge unit,Newborn Nursery,69.1%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Discharge unit,Intermediate Care Nursery,84.4%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Discharge unit,NICU,68.8%
"California, USA (1 hospital)",Nirsevimab,Infants under 8 months of old ,Received hepatitis B vaccine,Yes,75.9%
USA,Nirsevimab,Infants under 2 months old,TOTAL,NA,44.6%
USA,Nirsevimab,Infants under 2 months old,Maternal age group,Maternal age: 35-49,48.4%
USA,Nirsevimab,Infants under 2 months old,Maternal age group,Maternal age: 25-34,42.5%
USA,Nirsevimab,Infants under 2 months old,Maternal age group,Maternal age: 18-24,46.5%
USA,Nirsevimab,Infants under 2 months old,Ethnicity,Black or African American,51.1%
USA,Nirsevimab,Infants under 2 months old,Ethnicity,White,44.2%
USA,Nirsevimab,Infants under 2 months old,Ethnicity,Hispanic or Latino,43.9%
USA,Nirsevimab,Infants under 2 months old,Ethnicity,Other,38.5%
USA,Nirsevimab,Infants under 2 months old,Maternal education,Higher than college degree,37.2%
USA,Nirsevimab,Infants under 2 months old,Maternal education,College degree,46.2%
USA,Nirsevimab,Infants under 2 months old,Maternal education,"Some college, no degree",45.3%
USA,Nirsevimab,Infants under 2 months old,Maternal education,High school diploma or less,45.0%
USA,Nirsevimab,Infants under 2 months old,Maternal employment status,Employed mother,48.5%
USA,Nirsevimab,Infants under 2 months old,Maternal employment status,Unemployed mother,38.7%
USA,Nirsevimab,Infants under 2 months old,Poverty status,At or above poverty,44.5%
USA,Nirsevimab,Infants under 2 months old,Poverty status,Below poverty,44.7%
USA,Nirsevimab,Infants under 2 months old,Area of residence,Non-rural area of residence,44.7%
USA,Nirsevimab,Infants under 2 months old,Area of residence,Rural area of residence,43.9%
USA,Nirsevimab,Infants under 2 months old,Region,Northeast region,44.0%
USA,Nirsevimab,Infants under 2 months old,Region,Midwest region,48.7%
USA,Nirsevimab,Infants under 2 months old,Region,South region,47.4%
USA,Nirsevimab,Infants under 2 months old,Region,West region,36.6%
USA,Nirsevimab,Infants under 2 months old,Prenatal insurance coverage,Private or military insurance,43.1%
USA,Nirsevimab,Infants under 2 months old,Prenatal insurance coverage,Any public insurance,46.9%
USA,Nirsevimab,Infants under 2 months old,Prenatal insurance coverage,No insurance,
USA,Nirsevimab,Infants under 2 months old,Provider recommendation of RSV vaccine or nirsevimab,Provider recommendation,58.7%
USA,Nirsevimab,Infants under 2 months old,Provider recommendation of RSV vaccine or nirsevimab,No provider recommendation,28.3%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,TOTAL,NA,10.7%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Sex,Males,10.8%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Sex,Females,10.5%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Ethnicity,Hispanic,10.4%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Ethnicity,White non-Hispanic,8.3%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Ethnicity,Black non-Hispanic,16.1%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Ethnicity,Other non-Hispanic,14.9%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Ethnicity,Unknown,5.6%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Comorbidities,Premature (<37 weeks of gestation),21.5%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Comorbidities,Pulmonary diseases,12.2%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Comorbidities,Cardiac diseases,21.7%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Comorbidities,Anemia,11.7%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Comorbidities,Having at least one risk factor,16.4%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Insurance type,Private,7.9%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Insurance type,Public,12.1%
"Connecticut, New York and Rhode Island, USA",Nirsevimab,Infants under 8 months old with acute respiratory infection receiving medical care,Insurance type,Uninsured,0.0%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
